RPU Solicitante,Solicitud PA,Solicitud SIA,Solixtra SIA,ID Presup,Programa,Sufijo SICOM,Fecha Alta SICOM,Fecha Alta PA,Fecha Pago,Total Prestamo,Total Capital,Total Interes,Total IVA,Dif Total,Dif Capital,Dif Interes,Dif IVA,ID Promo
776960700374,493835,YU000264,1,RU119237,5,2,20190211,20190211,2019-02-15,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776080801431,493836,YU000157,2,RU118927,5,1,20190211,20190211,2019-02-15,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774950303765,493839,YU000125,2,RU119402,5,2,20190211,20190211,2019-02-15,16825.92,10200,5712,913.92,702,425.92,238,38.08,0
774021203471,493840,YU000277,1,RU119404,5,1,20190211,20190211,2019-02-15,16825.92,10200,5712,913.92,702,425.92,238,38.08,0
773961200708,493852,YU000247,2,RU119241,5,2,20190212,20190212,2019-02-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772030801311,493971,YU000244,2,RU119118,5,1,20190214,20190214,2019-02-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
777070101437,493972,YU000268,1,RU119254,5,2,20190214,20190214,2019-02-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774030700924,493977,YU000134,2,RU118943,5,3,20190214,20190214,2019-02-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
777140300203,493978,YU000137,2,RU118944,5,1,20190214,20190214,2019-02-19,16825.92,10200,5712,913.92,702,425.92,238,38.08,0
772100802204,493979,YU000174,2,RU118978,5,1,20190214,20190214,2019-02-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776980300755,493980,YU000183,2,RU118983,5,1,20190214,20190214,2019-02-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774031201433,493981,YU000266,1,RU119252,5,1,20190214,20190214,2019-02-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774000457219,494008,YU000280,2,RU119301,5,2,20190215,20190215,2019-02-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
773030401700,494010,YU000284,1,RU119312,5,2,20190215,20190215,2019-02-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776811200202,494014,YU000162,3,RU119530,5,1,20190215,20190215,2019-02-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
